lat,lon
-23.6047153,-46.658493
-23.6062121,-46.658417
-23.6101732,-46.6368689
-23.5786027,-46.6063135
-23.5787238,-46.6084539
-23.4413054,-46.7207661
-23.4323082,-46.7199721
-23.4492206,-46.7349086
-23.4499051,-46.7352042
-23.4569384,-46.7663482
-23.503796,-46.6545878
-23.5284532,-46.7024611
-23.525621,-46.6832605
-23.525739,-46.6832179
-23.5047902,-46.6881273
-23.6295979,-46.6669438
-23.6175733,-46.6720382
-23.6263026,-46.6697338
-23.6906333,-46.708622
-23.5781141,-46.6199869
-23.6084184,-46.669167
-23.5414622,-46.6711804
-23.5782645,-46.7417196
-23.5568061,-46.6589269
-23.6069887,-46.6591651
-23.6222207,-46.6402275
-23.6108983,-46.6342709
-23.6109303,-46.634253
-23.5368304,-46.685749
-23.5426946,-46.6824589
-23.5540368,-46.6942699
-23.562291,-46.6557866
-23.6067567,-46.6559845
-23.4970579,-46.5857438
-23.4971447,-46.585793
-23.6177661,-46.6388713
-23.475572,-46.7036317
-23.5344276,-46.6233605
-23.5788647,-46.6292693
-23.5305373,-46.6002778
-23.6092519,-46.6940811
-23.5406709,-46.6077125
-23.5554726,-46.6890611
-23.5555979,-46.6889686
-23.5571758,-46.6892535
-23.4982352,-46.5965595
-23.540221,-46.5903787
-23.4953774,-46.5780578
-23.4864487,-46.605631
-23.593377,-46.6839873
-23.5287534,-46.7023194
-23.5280034,-46.6980842
-23.5281178,-46.7032071
-23.5279162,-46.7040253
-23.5277644,-46.7039042
-23.5034163,-46.7578254
-23.5239965,-46.6898729
-23.5240882,-46.6898553
-23.6352051,-46.6581106
-23.6371365,-46.6581106
-23.5806123,-46.6416403
-23.5815293,-46.6410446
-23.5814633,-46.6412231
-23.5780264,-46.6411375
-23.5781213,-46.6411638
-23.5779356,-46.6411241
-23.5801984,-46.6417918
-23.5815389,-46.6380531
-23.5831663,-46.6413424
-23.5852519,-46.6363002
-23.5825731,-46.6405538
-23.5772887,-46.6405354
-23.566354,-46.6508719
-23.566686,-46.6512751
-23.5567596,-46.658877
-23.5513788,-46.6507134
-23.5515453,-46.650771
-23.5510626,-46.6492444
-23.5642418,-46.6219069
-23.5983314,-46.682728
-23.5541488,-46.5608249
-23.554616,-46.5594677
-23.5470535,-46.5636209
